name,config,value at step 100,value at step 200,value at step 300,value at step 400,value at step 500,value at step 600,value at step 700,value at step 800,value at step 900,value at step 1000,value at step 1100,value at step 1200,value at step 1300,value at step 1400,value at step 1500,value at step 1600,value at step 1700,value at step 1800,value at step 1900,value at step 2000,value at step 2100,value at step 2200,value at step 2300,value at step 2400,value at step 2500,value at step 2600,value at step 2700,value at step 2800,value at step 2900,value at step 3000
Sofa_100000_colored_pointcloud,LR_Basic_Chamfer_Prune,0.0,0.0,0.0,0.0,0.0,0.0,1.199431972054299e-05,1.199431972054299e-05,1.2282966054044664e-05,1.2282966054044664e-05,1.2518716175691225e-05,1.2559587048599496e-05,1.3506370123650413e-05,1.3919517186877783e-05,1.6296231478918344e-05,1.7144469893537462e-05,1.7920323443831876e-05,1.8733058823272586e-05,1.9580975276767276e-05,2.0425924958544783e-05,2.1136993382242508e-05,2.168032733607106e-05,2.2103176888776943e-05,2.2397105567506514e-05,2.2626827558269724e-05,2.2792799427406862e-05,2.2914466171641834e-05,2.2899976102053188e-05,2.2947922843741253e-05,2.295993544976227e-05
Sofa_100000_pointcloud,LR_Basic_Chamfer_Prune,0.0,0.0,0.0,0.0,0.0,0.0,1.1743612049031071e-05,1.1743612049031071e-05,1.2087219147360884e-05,1.2087219147360884e-05,1.2270093975530472e-05,1.2303395124035887e-05,1.317082205787301e-05,1.356547545583453e-05,1.5933168469928205e-05,1.676922147453297e-05,1.7513209968456067e-05,1.8276225091540255e-05,1.9005916328751482e-05,1.9839306332869455e-05,2.0529365428956226e-05,2.1041827494627796e-05,2.1438048861455172e-05,2.1708139684051275e-05,2.1944182662991807e-05,2.211532228102442e-05,2.2244814317673445e-05,2.222384136985056e-05,2.2266473024501465e-05,2.22704402403906e-05
SpaceShipMaybe_100000_colored_pointcloud,LR_Basic_Chamfer_Prune,0.0,0.0,0.0,0.0,0.0,0.0,5.381672508519841e-06,5.381672508519841e-06,5.522045285033528e-06,5.522045285033528e-06,5.615932423097547e-06,5.6709959608269855e-06,6.406802640412934e-06,6.823287549195811e-06,8.99313818081282e-06,9.89806812867755e-06,1.0763798854895867e-05,1.1638719115580898e-05,1.251655430678511e-05,1.3384405974647962e-05,1.4186087355483323e-05,1.4758705219719559e-05,1.5191038983175531e-05,1.5490848454646766e-05,1.572357359691523e-05,1.5906571206869557e-05,1.6026977391447872e-05,1.608893580851145e-05,1.6133952158270404e-05,1.6143754692166112e-05
SpaceShipMaybe_100000_pointcloud,LR_Basic_Chamfer_Prune,0.0,0.0,0.0,0.0,0.0,0.0,5.43457144885906e-06,5.43457144885906e-06,5.551105459744576e-06,5.551105459744576e-06,5.642403266392648e-06,5.694737410522066e-06,6.411761205527e-06,6.809802471252624e-06,9.02052670426201e-06,9.87488601822406e-06,1.0686472705856431e-05,1.1524698493303731e-05,1.2379954569041729e-05,1.3202929039834999e-05,1.3937486073700711e-05,1.4519535397994332e-05,1.4954885045881383e-05,1.5279701983672567e-05,1.5509152945014648e-05,1.5685378457419574e-05,1.5796311345184222e-05,1.5853443983360194e-05,1.589321436767932e-05,1.590735701029189e-05
Tree_100000_colored_pointcloud,LR_Basic_Chamfer_Prune,0.0,0.0,0.0,0.0,0.0,0.0,1.3461708476825152e-06,1.3461708476825152e-06,1.3527218243325478e-06,1.3527218243325478e-06,1.3778530956187751e-06,1.4528729934681905e-06,2.1802497940370813e-06,2.6896695999312215e-06,5.086083092464833e-06,6.170585947984364e-06,7.220598490675911e-06,8.28078464110149e-06,9.391577805217821e-06,1.051023900799919e-05,1.155704740085639e-05,1.2303384210099466e-05,1.2908101780340075e-05,1.3352475434658118e-05,1.3705646779271774e-05,1.3969999599794392e-05,1.4174553143675439e-05,1.4265929166867863e-05,1.4328166798804887e-05,1.4346091120387428e-05
Tree_100000_pointcloud,LR_Basic_Chamfer_Prune,0.0,0.0,0.0,0.0,0.0,0.0,1.5149803402891848e-06,1.5149803402891848e-06,1.5225950846797787e-06,1.5225950846797787e-06,1.5518426152993925e-06,1.6250951375695877e-06,2.3761976990499534e-06,2.8972865493415156e-06,5.341024916560855e-06,6.443465281336103e-06,7.450768862327095e-06,8.474069545627572e-06,9.552595656714402e-06,1.064163188857492e-05,1.1560602615645621e-05,1.2281003364478238e-05,1.2833339496864937e-05,1.3276669051265344e-05,1.3628871784021612e-05,1.3864359971194062e-05,1.405597595294239e-05,1.4099500731390435e-05,1.4165728316584136e-05,1.4173237104841974e-05
Truck_100000_colored_pointcloud,LR_Basic_Chamfer_Prune,0.0,0.0,0.0,0.0,0.0,0.0,1.1744941730285063e-06,1.1744941730285063e-06,1.176562363980338e-06,1.176562363980338e-06,1.1911438377865124e-06,1.2528003026091028e-06,1.8692594494496007e-06,2.2741460270481184e-06,4.177651589998277e-06,4.943629846820841e-06,5.605187652690802e-06,6.254962954699295e-06,6.8996037043689284e-06,7.564924544567475e-06,8.232355867221486e-06,8.707278539077379e-06,9.04552962310845e-06,9.28022745938506e-06,9.444773240829818e-06,9.579544894222636e-06,9.66643710853532e-06,9.698174835648388e-06,9.736805623106193e-06,9.744544513523579e-06
Truck_100000_pointcloud,LR_Basic_Chamfer_Prune,0.0,0.0,0.0,0.0,0.0,0.0,1.2227665138198063e-06,1.2227665138198063e-06,1.2255139836270246e-06,1.2255139836270246e-06,1.2544264791358728e-06,1.3150249742466258e-06,1.8872422060667304e-06,2.250331817776896e-06,4.032211563753663e-06,4.755963345814962e-06,5.395482730818912e-06,6.028189545759233e-06,6.712878985126736e-06,7.3698438427527435e-06,7.987445314938668e-06,8.434458322881255e-06,8.732387868803926e-06,8.96442088560434e-06,9.12507402972551e-06,9.263700121664442e-06,9.356772352475673e-06,9.380753908772022e-06,9.412182407686487e-06,9.42277256399393e-06
Waly_100000_colored_pointcloud,LR_Basic_Chamfer_Prune,0.0,0.0,0.0,0.0,0.0,0.0,1.607971171324607e-05,1.607971171324607e-05,1.6441023035440594e-05,1.6441023035440594e-05,1.6650112229399383e-05,1.6669191609253176e-05,1.787485962267965e-05,1.832586531236302e-05,2.1729551008320414e-05,2.2828655346529558e-05,2.3828688426874578e-05,2.4811815819703043e-05,2.5816800189204514e-05,2.679397221072577e-05,2.771958679659292e-05,2.841706736944616e-05,2.8903883503517136e-05,2.9282593459356576e-05,2.9573977371910587e-05,2.9770528271910734e-05,2.989462882396765e-05,2.9912709578638896e-05,2.9958371669636108e-05,2.997152660100255e-05
Waly_100000_pointcloud,LR_Basic_Chamfer_Prune,0.0,0.0,0.0,0.0,0.0,0.0,1.6137624697876163e-05,1.6137624697876163e-05,1.6505429812241346e-05,1.6505429812241346e-05,1.6651332771289162e-05,1.6660964320180938e-05,1.7822418158175424e-05,1.8204287698608823e-05,2.1418874894152395e-05,2.2417609216063283e-05,2.331341602257453e-05,2.4206718080677092e-05,2.5135683245025575e-05,2.6128927856916562e-05,2.6946076104650274e-05,2.7544745535124093e-05,2.800000220304355e-05,2.836804196704179e-05,2.8632966859731823e-05,2.88322007691022e-05,2.8969854611204937e-05,2.9013135645072907e-05,2.9063074180157855e-05,2.907608177338261e-05
Bicycle_100000_colored_pointcloud,LR_Basic_Prune,0.0,0.0,0.0,0.0,0.0,0.0,9.189935781250824e-07,9.189935781250824e-07,9.319086871073523e-07,9.319086871073523e-07,9.311156077274063e-07,1.0005933290813118e-06,1.7373029095324455e-06,2.314205630682409e-06,4.558092769002542e-06,5.603943463938776e-06,6.502379619632848e-06,7.437318345182575e-06,8.339407031598967e-06,9.36654851102503e-06,1.0138703146367334e-05,1.0749829925771337e-05,1.1209367585252039e-05,1.1569482921913732e-05,1.1797917977673933e-05,1.200263068312779e-05,1.2147874258516822e-05,1.1924010323127732e-05,1.1992898180324119e-05,1.198461905005388e-05
Bicycle_100000_pointcloud,LR_Basic_Prune,0.0,0.0,0.0,0.0,0.0,0.0,9.341429176856764e-07,9.341429176856764e-07,9.496764050709317e-07,9.496764050709317e-07,9.799457529879874e-07,1.0508538252906874e-06,1.70219743722555e-06,2.1729263153247302e-06,4.131568402954144e-06,5.019436684960965e-06,5.795050128654111e-06,6.542828486999497e-06,7.284220828296384e-06,7.986009222804569e-06,8.569544661440887e-06,8.985034583020024e-06,9.320370736531913e-06,9.59562385105528e-06,9.79320248006843e-06,9.952424989023712e-06,1.0049971933767665e-05,9.810471965465695e-06,9.866558684734628e-06,9.865234460448846e-06
Cat_100000_colored_pointcloud,LR_Basic_Prune,0.0,0.0,0.0,0.0,0.0,0.0,5.439563324216579e-07,5.439563324216579e-07,5.471918029797962e-07,5.471918029797962e-07,5.651397714245832e-07,6.438964419430704e-07,1.4159126067170291e-06,2.0227623735991074e-06,4.537585937214317e-06,5.764829893450951e-06,6.926781679794658e-06,8.120860911731143e-06,9.239002793037798e-06,1.0333709724363871e-05,1.1235609235882293e-05,1.1880341844516806e-05,1.2401545973261818e-05,1.2842577234550845e-05,1.3161568858777173e-05,1.3417986338026822e-05,1.359713223791914e-05,1.3162804862076882e-05,1.3236850463727023e-05,1.3231142474978697e-05
Cat_100000_pointcloud,LR_Basic_Prune,0.0,0.0,0.0,0.0,0.0,0.0,5.337457196219475e-07,5.337457196219475e-07,5.365175752558571e-07,5.365175752558571e-07,5.576210355684452e-07,6.467787443398265e-07,1.4364796925292467e-06,2.054431661235867e-06,4.7707244448247366e-06,6.0678548834403045e-06,7.156987976486562e-06,8.265408723673318e-06,9.432268598175142e-06,1.0459193617862184e-05,1.1303670362394769e-05,1.1977046597166918e-05,1.249435172212543e-05,1.2890773177787196e-05,1.3190136996854562e-05,1.3443132957036141e-05,1.3617594049719628e-05,1.3117673915985506e-05,1.3206533367338125e-05,1.318862723564962e-05
Chair3Legs_100000_colored_pointcloud,LR_Basic_Prune,0.0,0.0,0.0,0.0,0.0,0.0,7.913153240224347e-06,7.913153240224347e-06,7.992681275936775e-06,7.992681275936775e-06,8.063265340751968e-06,8.118498953990638e-06,8.937725397117902e-06,9.329232852905989e-06,1.1554835509741679e-05,1.2441094440873712e-05,1.3222441339166835e-05,1.4013410691404715e-05,1.479734964959789e-05,1.558189615025185e-05,1.6352358215954155e-05,1.691724537522532e-05,1.7368751286994666e-05,1.7669641238171607e-05,1.792669172573369e-05,1.810790490708314e-05,1.8234088202007115e-05,1.8235841707792133e-05,1.8275301044923253e-05,1.828396307246294e-05
Chair3Legs_100000_pointcloud,LR_Basic_Prune,0.0,0.0,0.0,0.0,0.0,0.0,7.982523129612673e-06,7.982523129612673e-06,8.082720341917593e-06,8.082720341917593e-06,8.151660040311981e-06,8.1985053839162e-06,9.023348866321612e-06,9.423032679478638e-06,1.1768805961764883e-05,1.2641361536225304e-05,1.3415188732324168e-05,1.4182940503815189e-05,1.49552015500376e-05,1.5741992683615535e-05,1.642439565330278e-05,1.69760241988115e-05,1.739273102430161e-05,1.774126576492563e-05,1.7985417798627168e-05,1.8163598724640906e-05,1.830869950936176e-05,1.832605448726099e-05,1.837407035054639e-05,1.8384595023235306e-05
Chair_100000_colored_pointcloud,LR_Basic_Prune,0.0,0.0,0.0,0.0,0.0,0.0,8.323801012011245e-06,8.323801012011245e-06,8.436292773694731e-06,8.436292773694731e-06,8.530917511961889e-06,8.565494681533892e-06,9.349058018415235e-06,9.75022885540966e-06,1.2128370144637302e-05,1.3034793482802343e-05,1.381502443109639e-05,1.4621764421463013e-05,1.5420737327076495e-05,1.6235626389971003e-05,1.698506821412593e-05,1.7526304873172194e-05,1.7929269233718514e-05,1.825000435928814e-05,1.8522056052461267e-05,1.8711270968196914e-05,1.885025267256424e-05,1.888556289486587e-05,1.8940068912343122e-05,1.894866545626428e-05
