name,config,value at step 100,value at step 200,value at step 300,value at step 400,value at step 500,value at step 600,value at step 700,value at step 800,value at step 900,value at step 1000,value at step 1100,value at step 1200,value at step 1300,value at step 1400,value at step 1500,value at step 1600,value at step 1700,value at step 1800,value at step 1900,value at step 2000,value at step 2100,value at step 2200,value at step 2300,value at step 2400,value at step 2500,value at step 2600,value at step 2700,value at step 2800,value at step 2900,value at step 3000
Sniper_100000_pointcloud,Basic,9.703662726678886e-07,1.822293825171073e-06,2.4035853130044416e-06,2.9957159313198645e-06,4.099215402675327e-06,5.164704816706944e-06,6.763268174836412e-06,8.617235835117754e-06,1.0705459317250643e-05,1.1118186193925794e-05,1.1388726306904573e-05,1.1569261914701201e-05,1.173883538285736e-05,1.1925419130420778e-05,1.2052238162141293e-05,1.2165553926024586e-05,1.228356450155843e-05,1.2389868061291054e-05,1.2498651813075412e-05,1.2598241482919548e-05,1.2723859072139021e-05,1.285245980398031e-05,1.2978798622498289e-05,1.3062853213341441e-05,1.3172855688026175e-05,1.3249163202999625e-05,1.3359327567741275e-05,1.3446137018036097e-05,1.3531003787647933e-05,1.3652949746756349e-05
Sofa_100000_colored_pointcloud,Basic,1.409485548720113e-06,2.726332695601741e-06,3.839570126729086e-06,4.914233159070136e-06,2.119015516655054e-05,2.4675309759913944e-05,2.8326583560556173e-05,3.2724499760661274e-05,3.745864887605421e-05,3.845380706479773e-05,3.917689900845289e-05,3.9698021282674745e-05,4.019456901005469e-05,4.0591978176962584e-05,4.0908718801802024e-05,4.124789120396599e-05,4.153807458351366e-05,4.1830895497696474e-05,4.2090217903023586e-05,4.237444227328524e-05,4.26160404458642e-05,4.2841245885938406e-05,4.304927642806433e-05,4.3260712118353695e-05,4.350945891928859e-05,4.3760635890066624e-05,4.393206108943559e-05,4.4114502088632435e-05,4.4304477341938764e-05,4.447525861905888e-05
Sofa_100000_pointcloud,Basic,1.4639377923231223e-06,2.6976913432008587e-06,3.7942011203995207e-06,4.825003088626545e-06,2.1391628251876682e-05,2.494220098014921e-05,2.8883598133688793e-05,3.337443558848463e-05,3.8090562156867236e-05,3.903333708876744e-05,3.9698683394817635e-05,4.0246104617835954e-05,4.067601912538521e-05,4.1081217204919085e-05,4.141409226576798e-05,4.171892942395061e-05,4.201420597382821e-05,4.2294115701224655e-05,4.257776163285598e-05,4.2870342440437526e-05,4.315558180678636e-05,4.3434247345430776e-05,4.371780596557073e-05,4.394158167997375e-05,4.4184140278957784e-05,4.4482167140813544e-05,4.469645136850886e-05,4.490235005505383e-05,4.513135354500264e-05,4.536493361229077e-05
SpaceShipMaybe_100000_colored_pointcloud,Basic,1.4108837831372512e-06,2.7355654310667887e-06,4.017002538603265e-06,5.232731382420752e-06,1.3517012121155858e-05,1.6397836589021608e-05,2.0357832909212448e-05,2.5160015866276808e-05,3.020951771759428e-05,3.1264833523891866e-05,3.202775405952707e-05,3.26480258081574e-05,3.315312642371282e-05,3.357697278261185e-05,3.390928395674564e-05,3.425971226533875e-05,3.4600125218275934e-05,3.4922857594210654e-05,3.520666359690949e-05,3.5504599509295076e-05,3.5797973396256566e-05,3.61038873961661e-05,3.638994166976772e-05,3.6632874980568886e-05,3.684456169139594e-05,3.707053838297725e-05,3.732479672180489e-05,3.7555051676463336e-05,3.776747689698823e-05,3.8014408346498385e-05
SpaceShipMaybe_100000_pointcloud,Basic,1.4265169738791883e-06,2.713270532694878e-06,3.759249239010387e-06,4.72424926556414e-06,1.3161927199689671e-05,1.6085012248368002e-05,2.0127061361563392e-05,2.4898061383282766e-05,3.0040628189453855e-05,3.132644997094758e-05,3.206036490155384e-05,3.2699957955628633e-05,3.3191459806403145e-05,3.36474840878509e-05,3.406148971407674e-05,3.445017136982642e-05,3.4783144656103104e-05,3.5084009141428396e-05,3.542218109942041e-05,3.573398498701863e-05,3.602604192565195e-05,3.636060864664614e-05,3.6636491131503135e-05,3.6864443245576695e-05,3.7087767850607634e-05,3.736098369699903e-05,3.7621739465976134e-05,3.787539026234299e-05,3.8169531762832776e-05,3.8441805372713134e-05
Tree_100000_colored_pointcloud,Basic,1.6824220665512257e-06,3.3971809898503125e-06,4.966410415363498e-06,6.162837507872609e-06,1.120729029935319e-05,1.3602664694190025e-05,1.7459817172493786e-05,2.2206946596270427e-05,2.7201571356272325e-05,2.8458798624342307e-05,2.9328823075047694e-05,3.005190592375584e-05,3.0743733077542856e-05,3.131662015221082e-05,3.172237120452337e-05,3.214377284166403e-05,3.259319782955572e-05,3.310564352432266e-05,3.346621815580875e-05,3.388283948879689e-05,3.4299409890081733e-05,3.466024645604193e-05,3.5026630939682946e-05,3.5379209293751046e-05,3.571557317627594e-05,3.6049794289283454e-05,3.6410889151738957e-05,3.674667823361233e-05,3.716173523571342e-05,3.755396028282121e-05
Tree_100000_pointcloud,Basic,1.7041301134668174e-06,3.5344187381269876e-06,5.243486157269217e-06,6.634732926613651e-06,1.2273359971004538e-05,1.4608700439566746e-05,1.8311384337721393e-05,2.2979473214945756e-05,2.7906764444196597e-05,2.9130582333891653e-05,2.997990304720588e-05,3.058796573895961e-05,3.122323323623277e-05,3.18412967317272e-05,3.227951310691424e-05,3.2712214306229725e-05,3.309821113361977e-05,3.34223841491621e-05,3.375943560968153e-05,3.414079037611373e-05,3.4449640224920586e-05,3.483880573185161e-05,3.5169021430192515e-05,3.55276970367413e-05,3.5800927435047925e-05,3.615929381339811e-05,3.64517982234247e-05,3.6764871765626594e-05,3.706981806317344e-05,3.735466452781111e-05
Truck_100000_colored_pointcloud,Basic,1.4746598253623233e-06,2.7763294383476023e-06,3.837362783087883e-06,4.850508958043065e-06,9.055039299710188e-06,1.1019620615115855e-05,1.3775994375464506e-05,1.7067939552362077e-05,2.059611324511934e-05,2.13646035263082e-05,2.1957266653771512e-05,2.240188405266963e-05,2.2729611373506486e-05,2.312706783413887e-05,2.3396645701723173e-05,2.3635151592316106e-05,2.3926158974063583e-05,2.4178960302378982e-05,2.4414774088654667e-05,2.4628134269732982e-05,2.4915616450016387e-05,2.5168603315250948e-05,2.5413743060198613e-05,2.5601122615626082e-05,2.577228588052094e-05,2.5962763174902648e-05,2.614021286717616e-05,2.6311865440220572e-05,2.6479228836251423e-05,2.664976636879146e-05
Truck_100000_pointcloud,Basic,1.574946963955881e-06,3.1489826142205857e-06,4.43167573394021e-06,5.702693670173176e-06,9.88137981039472e-06,1.185779274237575e-05,1.4532794011756778e-05,1.7617439880268648e-05,2.082405444525648e-05,2.1604828361887485e-05,2.2145726688904688e-05,2.252700323879253e-05,2.282572677358985e-05,2.3125494408304803e-05,2.340186620131135e-05,2.364413012401201e-05,2.3868848074926063e-05,2.407177453278564e-05,2.4259028577944264e-05,2.4457160179736093e-05,2.4626360755064525e-05,2.4854261937434785e-05,2.5018849555635825e-05,2.5189763618982397e-05,2.532128019083757e-05,2.5479623218416236e-05,2.5600042135920376e-05,2.5745681341504678e-05,2.592791133793071e-05,2.6093117412528954e-05
Waly_100000_colored_pointcloud,Basic,1.6818680705910083e-06,3.305870450276416e-06,4.6851473598508164e-06,6.0929205574211664e-06,2.9766246370854788e-05,3.484120679786429e-05,4.0281080146087334e-05,4.706630716100335e-05,5.435077036963776e-05,5.5714943300699815e-05,5.652077015838586e-05,5.7268749515060335e-05,5.789973511127755e-05,5.8443383750272915e-05,5.890268585062586e-05,5.932446219958365e-05,5.97102553001605e-05,6.011207005940378e-05,6.0491543990792707e-05,6.093828415032476e-05,6.127420056145638e-05,6.163671059766784e-05,6.196516187628731e-05,6.230845610843971e-05,6.261852104216814e-05,6.296230276348069e-05,6.324155401671305e-05,6.352630589390174e-05,6.378245598170906e-05,6.406780448742211e-05
