name,config,value at step 100,value at step 200,value at step 300,value at step 400,value at step 500,value at step 600,value at step 700,value at step 800,value at step 900,value at step 1000,value at step 1100,value at step 1200,value at step 1300,value at step 1400,value at step 1500,value at step 1600,value at step 1700,value at step 1800,value at step 1900,value at step 2000,value at step 2100,value at step 2200,value at step 2300,value at step 2400,value at step 2500,value at step 2600,value at step 2700,value at step 2800,value at step 2900,value at step 3000
Chair_100000_colored_pointcloud,Mask_pen_Prune,1.5275934401870472e-06,2.910448529291898e-06,4.24476274929475e-06,5.600829354079906e-06,1.7772457795217633e-05,2.0810784917557612e-05,2.4429797122138552e-05,2.8948057661182247e-05,3.350969200255349e-05,3.4634325857041404e-05,3.532090340740979e-05,3.588828258216381e-05,3.6393605114426464e-05,3.6857425584457815e-05,3.726952490978874e-05,3.7616533518303186e-05,3.7916626752121374e-05,3.823871520580724e-05,3.8573147321585566e-05,3.890564767061733e-05,3.918999573215842e-05,3.9457860111724585e-05,3.9700924389762804e-05,3.9947313780430704e-05,4.0151320717995986e-05,4.038718179799616e-05,4.060397623106837e-05,4.0283604903379455e-05,4.051790165249258e-05,4.062782318214886e-05
Chair_100000_pointcloud,Mask_pen_Prune,1.7025212173393811e-06,3.246305141146877e-06,4.736528353532776e-06,6.187676262925379e-06,1.813415474316571e-05,2.0995285012759268e-05,2.445528116368223e-05,2.8593776733032428e-05,3.296056092949584e-05,3.391600330360234e-05,3.4527285606600344e-05,3.511624163365923e-05,3.556320007191971e-05,3.5981582186650485e-05,3.635018947534263e-05,3.668241697596386e-05,3.703210313688032e-05,3.73117218259722e-05,3.7615758628817275e-05,3.786596789723262e-05,3.816488970187493e-05,3.846237086690962e-05,3.874375397572294e-05,3.900117735611275e-05,3.9240916521521285e-05,3.9484730223193765e-05,3.968489181715995e-05,3.921774259652011e-05,3.945534990634769e-05,3.9668586396146566e-05
DragonOnWall_100000_colored_pointcloud,Mask_pen_Prune,1.6465869521198329e-06,3.4576851248857565e-06,5.061236151959747e-06,6.533803571073804e-06,2.0067673176527023e-05,2.264800605189521e-05,2.6259449441567995e-05,3.131369157927111e-05,3.70355810446199e-05,3.80254969059024e-05,3.8696700357832015e-05,3.925691271433607e-05,3.9690141420578584e-05,4.0075618016999215e-05,4.051125870319083e-05,4.0864637412596494e-05,4.120383528061211e-05,4.1521423554513603e-05,4.181599069852382e-05,4.206101584713906e-05,4.232228093314916e-05,4.2571904486976564e-05,4.2856496293097734e-05,4.311043448979035e-05,4.3366126192267984e-05,4.361644823802635e-05,4.382383485790342e-05,4.299378997529857e-05,4.331538366386667e-05,4.336575875640847e-05
DragonOnWall_100000_pointcloud,Mask_pen_Prune,1.6943639593591797e-06,3.3539463402121328e-06,4.960803835274419e-06,6.288233635132201e-06,1.9174462067894638e-05,2.1291054508765228e-05,2.4282473532366566e-05,2.8460777684813365e-05,3.307920997031033e-05,3.391175778233446e-05,3.455806290730834e-05,3.5024131648242474e-05,3.546860534697771e-05,3.584725345717743e-05,3.61757556675002e-05,3.650841608759947e-05,3.679283690871671e-05,3.707437281263992e-05,3.734078927664086e-05,3.75879171770066e-05,3.786975867114961e-05,3.8095717172836885e-05,3.832337097264826e-05,3.85542880394496e-05,3.880920849042013e-05,3.9030939660733566e-05,3.9242717321030796e-05,3.829976776614785e-05,3.86643223464489e-05,3.852590816677548e-05
Elephant_100000_colored_pointcloud,Mask_pen_Prune,1.6683798094163649e-06,3.297321654827101e-06,4.9693726396071725e-06,6.567122909473255e-06,9.604425940779038e-06,1.2225981663505081e-05,1.5674257156206295e-05,1.981006789719686e-05,2.3999480617931113e-05,2.5245477445423603e-05,2.6091269319294952e-05,2.6818213882506825e-05,2.7447746106190607e-05,2.802679591695778e-05,2.855118873412721e-05,2.906036752392538e-05,2.9521841497626156e-05,2.9961611289763823e-05,3.0422668714891188e-05,3.0890001653460786e-05,3.127005402348004e-05,3.167531394865364e-05,3.210263093933463e-05,3.2528056181035936e-05,3.2914584153331816e-05,3.3243060897802934e-05,3.360583650646731e-05,3.316399670438841e-05,3.358122194185853e-05,3.3687418181216344e-05
Elephant_100000_pointcloud,Mask_pen_Prune,1.7703613366393256e-06,3.440379714447772e-06,5.175883870833786e-06,6.785247023799457e-06,9.848392437561415e-06,1.2384727597236633e-05,1.5702415112173185e-05,1.9611801690189168e-05,2.3640379367861897e-05,2.480503826518543e-05,2.568923264334444e-05,2.6425603209645487e-05,2.71152730419999e-05,2.7715614123735577e-05,2.8262029445613734e-05,2.8736398235196248e-05,2.9212065783212893e-05,2.9680648367502727e-05,3.0158604204189032e-05,3.062734685954638e-05,3.1087281968211755e-05,3.1505056540481746e-05,3.194024975528009e-05,3.233781171729788e-05,3.278880103607662e-05,3.3192147384397686e-05,3.364405711181462e-05,3.312457920401357e-05,3.360005939612165e-05,3.372198989382014e-05
Fountain_100000_colored_pointcloud,Mask_pen_Prune,1.69588383869268e-06,3.394126451894408e-06,5.184370365896029e-06,6.7375885919318534e-06,4.325000190874562e-05,4.779887240147218e-05,5.5448064813390374e-05,6.38107376289554e-05,7.25603531464003e-05,7.405894575640559e-05,7.498256309190765e-05,7.564017141703516e-05,7.622716657351702e-05,7.676243694731966e-05,7.732468657195568e-05,7.781200838508084e-05,7.82070419518277e-05,7.864373037591577e-05,7.90735793998465e-05,7.943848322611302e-05,7.978933717822656e-05,8.01229034550488e-05,8.046129369176924e-05,8.082197746261954e-05,8.115554373944178e-05,8.146230538841337e-05,8.176728442776948e-05,8.198272553272545e-05,8.230776438722387e-05,8.262837218353525e-05
Fountain_100000_pointcloud,Mask_pen_Prune,1.739523440846824e-06,3.5378275242692325e-06,5.482183041749522e-06,7.083426226017764e-06,4.281180736143142e-05,4.732495654025115e-05,5.45448565389961e-05,6.272380414884537e-05,7.083292439347133e-05,7.211080082925037e-05,7.291440124390647e-05,7.359500887105241e-05,7.418903987854719e-05,7.472080324077979e-05,7.520716462749988e-05,7.565919077023864e-05,7.606733561260626e-05,7.64436335884966e-05,7.684509182581678e-05,7.721051952103153e-05,7.756231934763491e-05,7.791974348947406e-05,7.829316018614918e-05,7.866012310842052e-05,7.898257172200829e-05,7.928848208393902e-05,7.961395749589428e-05,7.98666151240468e-05,8.019361848710105e-05,8.048513700487092e-05
House_100000_colored_pointcloud,Mask_pen_Prune,1.4784249060539878e-06,2.9879288376832847e-06,4.445314516487997e-06,5.731021246901946e-06,2.6171432182309218e-05,3.026565354957711e-05,3.367637691553682e-05,3.770267721847631e-05,4.205275763524696e-05,4.297058330848813e-05,4.36423797509633e-05,4.417691889102571e-05,4.4622403947869316e-05,4.502058800426312e-05,4.533152241492644e-05,4.5629592932527885e-05,4.586291834129952e-05,4.6143224608385935e-05,4.637167148757726e-05,4.662235005525872e-05,4.6876219130354e-05,4.7107056161621585e-05,4.738566349260509e-05,4.7628243919461966e-05,4.7891157009871677e-05,4.813764098798856e-05,4.8350102588301525e-05,4.6503373596351594e-05,4.681909194914624e-05,4.6470853703795e-05
House_100000_pointcloud,Mask_pen_Prune,1.5696348327765008e-06,3.0556316232832614e-06,4.392897153593367e-06,5.582675839832518e-06,2.4139249944710173e-05,2.7332367608323693e-05,2.9933573387097567e-05,3.32039526256267e-05,3.6710294807562605e-05,3.744748391909525e-05,3.7994155718479306e-05,3.843336889985949e-05,3.885359183186665e-05,3.917717549484223e-05,3.9521179132862017e-05,3.981206100434065e-05,4.004869333584793e-05,4.0320381231140345e-05,4.0541104681324214e-05,4.0792096115183085e-05,4.101486410945654e-05,4.12126537412405e-05,4.1470961150480434e-05,4.167523729847744e-05,4.189566243439913e-05,4.206472294754349e-05,4.22812627220992e-05,4.093971074325964e-05,4.118380093132146e-05,4.095074109500274e-05
